link;endereco;rua;bairro;regiao;cidade;estado;area;quartos;suites;banheiros;vagas;elevador;metro_trem;condominio;iptu;valor;tipo;tipo_Apartamento;tipo_Casa;cidade_BeloHorizonte;cidade_RioDeJaneiro;cidade_SaoPaulo
http://larimoveis.com.br/imovel/cobertura-3-quartos-a-venda-no-nova-floresta-belo-horizonte-mg-74971/;Rua Capricórnio, Nova Floresta, Belo Horizonte, Minas Gerais, 31140-240;Rua Capricórnio;Nova Floresta;Nordeste;Belo Horizonte;Minas Gerais;157;3;1;3;2;0;0;600;2040.0;650000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/flat-1-quarto-a-venda-no-lourdes-belo-horizonte-mg-74960/;Av. Álvares Cabral, Lourdes, Belo Horizonte, Minas Gerais, 30170-001;Av. Álvares Cabral;Lourdes;Centro-Sul;Belo Horizonte;Minas Gerais;40;1;1;1;1;0;0;1500;1800.0;250000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-2-quartos-a-venda-no-lourdes-belo-horizonte-mg-74959/;Rua Curitiba, Lourdes, Belo Horizonte, Minas Gerais, 30170-121;Rua Curitiba;Lourdes;Centro-Sul;Belo Horizonte;Minas Gerais;67;2;1;2;2;0;0;700;2940.0;750000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-estoril-belo-horizonte-mg-74958/;Rua Paulo Piedade Campos, Estoril, Belo Horizonte, Minas Gerais, 30494-225;Rua Paulo Piedade Campos;Estoril;Oeste;Belo Horizonte;Minas Gerais;65;3;1;2;1;0;0;300;948.0;250000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-1-quarto-a-venda-no-barro-preto-belo-horizonte-mg-74956/;Rua dos Tupis, Barro Preto, Belo Horizonte, Minas Gerais, 30190-062;Rua dos Tupis;Barro Preto;Centro-Sul;Belo Horizonte;Minas Gerais;58;1;0;1;0;0;0;337;732.0;215000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-graca-belo-horizonte-mg-74955/;Rua Jataí, Graça, Belo Horizonte, Minas Gerais, 31140-190;Rua Jataí;Graça;Minas Gerais;Belo Horizonte;Minas Gerais;85;3;1;2;2;0;0;300;1920.0;450000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-1-quarto-a-venda-no-silveira-belo-horizonte-mg-74954/;Av. Cristiano Machado, Silveira, Belo Horizonte, Minas Gerais, 31140-505;Av. Cristiano Machado;Silveira;Nordeste;Belo Horizonte;Minas Gerais;40;1;0;1;1;0;0;1100;2052.0;230000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/cobertura-3-quartos-a-venda-no-monsenhor-messias-belo-horizonte-mg-74908/;Rua Desembargador Tinoco, Monsenhor Messias, Belo Horizonte, Minas Gerais, 30720-480;Rua Desembargador Tinoco;Monsenhor Messias;Noroeste;Belo Horizonte;Minas Gerais;123;3;1;2;2;0;0;300;900.0;460000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/flat-1-quarto-a-venda-no-nova-suissa-belo-horizonte-mg-74907/;Av. Amazonas, Nova Suíssa, Belo Horizonte, Minas Gerais, 30421-026;Av. Amazonas;Nova Suíssa;Minas Gerais;Belo Horizonte;Minas Gerais;20;1;0;1;1;0;0;350;2400.0;270000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-2-quartos-a-venda-no-heliopolis-belo-horizonte-mg-74899/;Rua Maria Manoela Braz, Heliópolis, Belo Horizonte, Minas Gerais, 31741-460;Rua Maria Manoela Braz;Heliópolis;Norte;Belo Horizonte;Minas Gerais;65;2;1;2;1;0;0;280;1440.0;260000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/casa-em-condominio-3-quartos-a-venda-no-sao-gabriel-belo-horizonte-mg-74898/;Rua Pedra Negra, São Gabriel, Belo Horizonte, Minas Gerais, 31985-150;Rua Pedra Negra;São Gabriel;Nordeste;Belo Horizonte;Minas Gerais;80;3;0;2;2;0;0;97;900.0;320000;Casa;0;1;1;0;0
http://larimoveis.com.br/imovel/casa-geminada-3-quartos-a-venda-no-santa-amelia-belo-horizonte-mg-74891/;Rua Augustus William Parish, Santa Amélia, Belo Horizonte, Minas Gerais, 31560-410;Rua Augustus William Parish;Santa Amélia;Pampulha;Belo Horizonte;Minas Gerais;135;3;1;2;2;0;0;0;960.0;645000;Casa;0;1;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-barro-preto-belo-horizonte-mg-74890/;Av. Augusto de Lima, Barro Preto, Belo Horizonte, Minas Gerais, 30190-915;Av. Augusto de Lima;Barro Preto;Centro-Sul;Belo Horizonte;Minas Gerais;89;3;0;2;0;0;0;382;732.0;380000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-2-quartos-a-venda-no-santa-lucia-belo-horizonte-mg-74886/;Rua Crúcis, Santa Lúcia, Belo Horizonte, Minas Gerais, 30360-290;Rua Crúcis;Santa Lúcia;Centro-Sul;Belo Horizonte;Minas Gerais;96;2;0;2;1;0;0;350;1908.0;290000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-lourdes-belo-horizonte-mg-74884/;Rua Santa Catarina, Lourdes, Belo Horizonte, Minas Gerais, 30170-084;Rua Santa Catarina;Lourdes;Centro-Sul;Belo Horizonte;Minas Gerais;110;3;1;2;2;0;0;1100;4380.0;1230000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-alto-caicaras-belo-horizonte-mg-74883/;Rua Santíssimo, Alto Caiçaras, Belo Horizonte, Minas Gerais, 30775-470;Rua Santíssimo;Alto Caiçaras;Minas Gerais;Belo Horizonte;Minas Gerais;83;3;1;3;2;0;0;650;1668.0;530000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-santa-monica-belo-horizonte-mg-74879/;Rua Geralda Cirino Flor de Maio, Santa Mônica, Belo Horizonte, Minas Gerais, 31565-300;Rua Geralda Cirino Flor de Maio;Santa Mônica;Pampulha;Belo Horizonte;Minas Gerais;110;3;1;2;2;0;0;200;1200.0;370000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/casa-3-quartos-a-venda-no-canada-belo-horizonte-mg-74875/;Rua Petrópolis, Canadá, Belo Horizonte, Minas Gerais, 31130-030;Rua Petrópolis;Canadá;Minas Gerais;Belo Horizonte;Minas Gerais;163;3;0;1;1;0;0;0;1944.0;700000;Casa;0;1;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-sion-belo-horizonte-mg-74874/;Rua Doutor Astolpho Vieira de Rezende, Sion, Belo Horizonte, Minas Gerais, 30315-510;Rua Doutor Astolpho Vieira de Rezende;Sion;Centro-Sul;Belo Horizonte;Minas Gerais;120;3;1;3;1;0;0;500;2400.0;520000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-coracao-eucaristico-belo-horizonte-mg-74845/;Rua Dom Joaquim Silvério, Coração Eucarístico, Belo Horizonte, Minas Gerais, 30535-620;Rua Dom Joaquim Silvério;Coração Eucarístico;Noroeste;Belo Horizonte;Minas Gerais;76;3;1;2;2;0;0;350;4416.0;550000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-coracao-eucaristico-belo-horizonte-mg-74846/;Rua Dom Joaquim Silvério, Coração Eucarístico, Belo Horizonte, Minas Gerais, 30535-620;Rua Dom Joaquim Silvério;Coração Eucarístico;Noroeste;Belo Horizonte;Minas Gerais;76;3;1;2;2;0;0;350;4416.0;560000;Apartamento;1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-coracao-eucaristico-belo-horizonte-mg-74847/;Rua Dom Joaquim Silvério, Coração Eucarístico, Belo Horizonte, Minas Gerais, 30535-620;Rua Dom Joaquim Silvério;Coração Eucarístico;Noroeste;Belo Horizonte;Minas Gerais;150;3;1;2;3;0;0;350;4416.0;900000;Apartamento;1;0;1;0;0
