link;endereco;rua;bairro;regiao;bairro_cidade;regiao_cidade;cidade;estado;area;quartos;suites;banheiros;vagas;elevador;metro_trem;condominio;iptu;valor;tipo;loc;point;tipo_Apartamento;tipo_Casa;cidade_BeloHorizonte;cidade_RioDeJaneiro;cidade_SaoPaulo
http://larimoveis.com.br/imovel/cobertura-3-quartos-a-venda-no-nova-floresta-belo-horizonte-mg-74971/;Rua Capricórnio, Nova Floresta, Belo Horizonte, Minas Gerais, 31140-240;Rua Capricórnio;NOVA FLORESTA;REGIAO NORDESTE;BAIRRO NOVA FLORESTA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;157;3;1;3;2;0;0;600;2040.0;650000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-graca-belo-horizonte-mg-74955/;Rua Jataí, Graça, Belo Horizonte, Minas Gerais, 31140-190;Rua Jataí;GRACA;REGIAO NORDESTE;BAIRRO GRACA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;85;3;1;2;2;0;0;300;1920.0;450000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-graca-belo-horizonte-mg-74630/;Rua Jussara, Graça, Belo Horizonte, Minas Gerais, 31140-070;Rua Jussara;GRACA;REGIAO NORDESTE;BAIRRO GRACA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;86;3;0;1;2;0;0;310;1392.0;350000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-graca-belo-horizonte-mg-74466/;Rua Juruá, Graça, Belo Horizonte, Minas Gerais, 31140-020;Rua Juruá;GRACA;REGIAO NORDESTE;BAIRRO GRACA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;73;3;1;2;2;0;0;480;2220.0;710000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-2-quartos-a-venda-no-graca-belo-horizonte-mg-74467/;Rua Juruá, Graça, Belo Horizonte, Minas Gerais, 31140-020;Rua Juruá;GRACA;REGIAO NORDESTE;BAIRRO GRACA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;65;2;1;2;2;0;0;480;2220.0;620000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-graca-belo-horizonte-mg-74468/;Rua Juruá, Graça, Belo Horizonte, Minas Gerais, 31140-020;Rua Juruá;GRACA;REGIAO NORDESTE;BAIRRO GRACA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;73;3;1;2;2;0;0;480;2220.0;755000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/cobertura-3-quartos-a-venda-no-graca-belo-horizonte-mg-74594/;Rua Juruá, Graça, Belo Horizonte, Minas Gerais, 31140-020;Rua Juruá;GRACA;REGIAO NORDESTE;BAIRRO GRACA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;130;3;1;2;3;0;0;480;2220.0;930000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-graca-belo-horizonte-mg-74593/;Rua Juruá, Graça, Belo Horizonte, Minas Gerais, 31140-020;Rua Juruá;GRACA;REGIAO NORDESTE;BAIRRO GRACA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;73;3;1;2;2;0;0;480;2220.0;750000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-1-quarto-a-venda-no-silveira-belo-horizonte-mg-74954/;Av. Cristiano Machado, Silveira, Belo Horizonte, Minas Gerais, 31140-505;Av. Cristiano Machado;SILVEIRA;REGIAO NORDESTE;BAIRRO SILVEIRA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;40;1;0;1;1;0;0;1100;2052.0;230000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
http://larimoveis.com.br/imovel/apartamento-3-quartos-a-venda-no-uniao-belo-horizonte-mg-74733/;Rua Edson, União, Belo Horizonte, Minas Gerais, 31170-620;Rua Edson;UNIAO;REGIAO NORDESTE;BAIRRO UNIAO, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;85;3;1;2;2;0;0;400;2520.0;490000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
